,0,1
1460,other,other
1461,other,other
1462,other,other
1463,other,other
1464,other,other
1465,other,other
1466,other,other
1467,other,other
1468,other,other
1469,other,other
1470,other,other
1471,other,other
1472,other,other
1473,other,other
1474,other,other
1475,blood,blood
1476,other,other
1477,other,other
1478,other,other
1479,other,other
1480,other,other
1481,other,other
1482,other,other
1483,other,other
1484,other,other
1485,other,other
1486,other,other
1487,other,other
1488,other,other
1489,other,other
1490,other,other
1491,other,other
1492,other,other
1493,other,other
1494,other,other
1495,other,other
1496,other,other
1497,other,other
1498,other,other
1499,other,other
1500,other,other
1501,other,other
1502,other,other
1503,other,other
1504,other,other
1505,other,other
1506,other,other
1507,other,other
1508,other,other
1509,other,other
1510,other,other
1511,other,other
1512,other,other
1513,other,other
1514,other,other
1515,other,other
1516,other,other
1517,other,other
1518,other,other
1519,other,other
1520,other,other
1521,other,other
1522,other,other
1523,other,other
1524,other,other
1525,other,other
1526,other,other
1527,other,other
1528,other,other
1529,other,other
1530,other,other
1531,other,other
1532,other,other
1533,other,other
1534,other,other
1535,other,other
1536,other,other
1537,other,other
1538,other,other
1539,other,other
1540,other,other
1541,other,other
1542,other,other
1543,other,other
1544,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1545,other,other
1546,other,other
1547,other,other
1548,other,other
1549,other,other
1550,other,other
1551,other,other
1552,other,other
1553,other,other
1554,other,other
1555,other,other
1556,other,other
1557,other,other
1558,other,other
1559,other,other
1560,other,other
1561,other,other
1562,other,other
1563,other,other
1564,other,other
1565,other,other
1566,other,other
1567,other,other
1568,other,other
1569,other,other
1570,other,other
1571,other,other
1572,other,other
1573,other,other
1574,other,other
1575,other,other
1576,other,other
1577,other,other
1578,other,other
1579,other,other
1580,other,other
1581,other,other
1582,other,other
1583,other,other
1584,other,other
1585,other,other
1586,other,other
1587,other,other
1588,other,other
1589,other,other
1590,other,other
1591,other,other
1592,other,other
1593,other,other
1594,other,other
1595,other,other
1596,other,other
1597,other,other
1598,other,other
1599,other,other
1600,other,other
1601,other,other
1602,other,other
1603,other,other
1604,other,other
1605,other,other
1606,other,other
1607,other,other
1608,other,other
1609,other,other
1610,other,other
1611,other,other
1612,other,other
1613,other,other
1614,other,other
1615,other,other
1616,other,other
1617,other,other
1618,other,other
1619,blood,blood
1620,other,other
1621,other,other
1622,other,other
1623,other,other
1624,other,other
1625,other,other
1626,other,other
1627,other,other
1628,other,other
1629,other,other
1630,other,other
1631,other,other
1632,other,other
1633,other,other
1634,other,other
1635,other,other
1636,other,other
1637,other,other
1638,other,other
1639,other,other
1640,other,other
1641,other,other
1642,other,other
1643,other,other
1644,other,other
1645,other,other
1646,other,other
1647,other,other
1648,other,other
1649,other,other
1650,other,other
1651,other,other
1652,other,other
1653,other,other
1654,other,other
1655,other,other
1656,other,other
1657,other,other
1658,other,other
1659,other,other
1660,other,other
1661,other,other
1662,other,other
1663,other,other
1664,other,other
1665,other,other
1666,other,other
1667,other,other
1668,other,other
1669,other,other
1670,other,other
1671,other,other
1672,other,other
1673,other,other
1674,other,other
1675,other,other
1676,other,other
1677,other,other
1678,other,other
1679,other,other
1680,other,other
1681,other,other
1682,other,other
1683,other,other
1684,other,other
1685,other,other
1686,other,other
1687,other,other
1688,other,other
1689,other,other
1690,other,other
1691,other,other
1692,other,other
1693,other,other
1694,other,other
1695,other,other
1696,other,other
1697,other,other
1698,other,other
1699,other,other
1700,other,other
1701,other,other
1702,other,other
1703,other,other
1704,other,other
1705,other,other
1706,other,other
1707,other,other
1708,other,other
1709,other,other
1710,other,other
1711,other,other
1712,other,other
1713,other,other
1714,other,other
1715,other,other
1716,other,other
1717,other,other
1718,other,other
1719,other,other
1720,other,other
1721,other,other
1722,other,other
1723,other,other
1724,other,other
1725,other,other
1726,other,other
1727,other,other
1728,other,other
1729,other,other
1730,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1731,other,other
1732,other,other
1733,other,other
1734,other,other
1735,other,other
1736,other,other
1737,other,other
1738,other,other
1739,other,other
1740,other,other
1741,other,other
1742,other,other
1743,other,other
1744,other,other
1745,other,other
1746,other,other
1747,other,other
1748,other,other
1749,other,other
1750,other,other
1751,other,other
1752,other,other
1753,other,other
1754,other,other
1755,other,other
1756,other,other
1757,other,other
1758,other,other
1759,other,other
1760,other,other
1761,other,other
1762,other,other
1763,other,other
1764,other,other
1765,other,other
1766,other,other
1767,other,other
1768,other,other
1769,other,other
1770,other,other
1771,other,other
1772,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1773,other,other
1774,other,other
1775,other,other
1776,other,other
1777,other,other
1778,other,other
1779,other,other
1780,other,other
1781,other,other
1782,other,other
1783,other,other
1784,other,other
1785,other,other
1786,other,other
1787,other,other
1788,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1789,other,other
1790,other,other
1791,other,other
1792,other,other
1793,other,other
1794,other,other
1795,other,other
1796,other,other
1797,other,other
1798,other,other
1799,other,other
1800,other,other
1801,other,other
1802,other,other
1803,other,other
1804,other,other
1805,other,other
1806,other,other
1807,other,other
1808,other,other
1809,other,other
1810,other,other
1811,other,other
1812,other,other
1813,other,other
1814,other,other
1815,other,other
1816,other,other
1817,other,other
1818,other,other
1819,other,other
1820,other,other
1821,other,other
1822,other,other
1823,other,other
1824,other,other
1825,other,other
1826,other,other
1827,other,other
1828,other,other
1829,other,other
1830,other,other
1831,other,other
1832,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1833,other,other
1834,other,other
1835,blood,blood
1836,other,other
1837,other,other
1838,other,other
1839,other,other
1840,other,other
1841,other,other
1842,other,other
1843,other,other
1844,other,other
1845,other,other
1846,other,other
1847,other,other
1848,other,other
1849,other,other
1850,other,other
1851,other,other
1852,other,other
1853,other,other
1854,other,other
1855,other,other
1856,other,other
1857,other,other
1858,other,other
1859,other,other
1860,other,other
1861,other,other
1862,other,other
1863,other,other
1864,other,other
1865,other,other
1866,other,other
1867,other,other
1868,other,other
1869,other,other
1870,other,other
1871,other,other
1872,other,other
1873,other,other
1874,other,other
1875,other,other
1876,other,other
1877,other,other
1878,other,other
1879,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1880,other,other
1881,other,other
1882,other,other
1883,other,other
1884,other,other
1885,other,other
1886,other,other
1887,other,other
1888,other,other
1889,other,other
1890,other,other
1891,other,other
1892,other,other
1893,other,other
1894,other,other
1895,other,other
1896,other,other
1897,other,other
1898,other,other
1899,other,other
1900,other,other
1901,other,other
1902,other,other
1903,other,other
1904,other,other
1905,other,other
1906,other,other
1907,other,other
1908,other,other
1909,other,other
1910,other,other
1911,other,other
1912,other,other
1913,other,other
1914,other,other
1915,other,other
1916,other,other
1917,other,other
1918,other,other
1919,other,other
1920,other,other
1921,other,other
1922,other,other
1923,other,other
1924,other,other
1925,other,other
1926,other,other
1927,other,other
1928,other,other
1929,other,other
1930,other,other
1931,other,other
1932,other,other
1933,other,other
1934,other,other
1935,other,other
1936,other,other
1937,other,other
1938,other,other
1939,other,other
1940,other,other
1941,other,other
1942,other,other
1943,other,other
1944,other,other
1945,other,other
1946,other,other
1947,other,other
1948,other,other
