,Symbol,GeneID,Name,Species,# PPI ,Type
,Foxp2,114142,forkhead box P2,mouse,0,TF
,Foxp3,20371,forkhead box P3,mouse,43,TF
,Foxp4,74123,forkhead box P4,mouse,0,TF
,Foxq1,15220,forkhead box Q1,mouse,0,TF
,Foxr1,382074,forkhead box R1,mouse,0,TF
,Foxr2,436240,forkhead box R2,mouse,0,TF
,Foxs1,14239,forkhead box S1,mouse,0,TF
,Fubp1,51886,far upstream element (FUSE) binding protein 1,mouse,0,TF
,Fubp3,320267,far upstream element (FUSE) binding protein 3,mouse,0,TF
,Gabpa,14390,"GA repeat binding protein, alpha",mouse,0,TF
,Gabpb1,14391,"GA repeat binding protein, beta 1",mouse,0,TF
,Gabpb2,213054,"GA repeat binding protein, beta 2",mouse,0,TF
,Gata1,14460,GATA binding protein 1,mouse,4,TF
,Gata2,14461,GATA binding protein 2,mouse,0,TF
,Gata3,14462,GATA binding protein 3,mouse,0,TF
,Gata4,14463,GATA binding protein 4,mouse,1,TF
,Gata5,14464,GATA binding protein 5,mouse,1,TF
,Gata6,14465,GATA binding protein 6,mouse,3,TF
,Gatad1,67210,GATA zinc finger domain containing 1,mouse,0,TF
,Gatad2a,234366,GATA zinc finger domain containing 2A,mouse,0,TF
,Gatad2b,229542,GATA zinc finger domain containing 2B,mouse,1,TF
,Gbx1,231044,gastrulation brain homeobox 1,mouse,0,TF
,Gbx2,14472,gastrulation brain homeobox 2,mouse,0,TF
,Gcfc2,330361,GC-rich sequence DNA binding factor 2,mouse,0,TF
,Gcm1,14531,glial cells missing homolog 1 (Drosophila),mouse,0,TF
,Gcm2,107889,glial cells missing homolog 2 (Drosophila),mouse,0,TF
,Gfi1,14581,growth factor independent 1,mouse,1,TF
,Gfi1b,14582,growth factor independent 1B,mouse,3,TF
,Gli1,14632,GLI-Kruppel family member GLI1,mouse,2,TF
,Gli2,14633,GLI-Kruppel family member GLI2,mouse,5,TF
,Gli3,14634,GLI-Kruppel family member GLI3,mouse,3,TF
,Glis1,230587,GLIS family zinc finger 1,mouse,0,TF
,Glis2,83396,GLIS family zinc finger 2,mouse,1,TF
,Glis3,226075,GLIS family zinc finger 3,mouse,0,TF
,Gm13154,433804,predicted gene 13154,mouse,0,TF
,Gm22,195209,predicted gene 22,mouse,0,TF
,Gm4944,240038,predicted gene 4944,mouse,0,TF
,Gm5581,434094,predicted gene 5581,mouse,0,TF
,Gm6712,100862203,predicted gene 6712,mouse,0,TF
,Gm8008,666257,predicted gene 8008,mouse,0,TF
,Gmeb1,56809,glucocorticoid modulatory element binding protein 1,mouse,1,TF
,Gmeb2,229004,glucocorticoid modulatory element binding protein 2,mouse,0,TF
,Gon4l,76022,gon-4-like (C.elegans),mouse,0,TF
,Grhl1,195733,grainyhead-like 1 (Drosophila),mouse,0,TF
,Grhl2,252973,grainyhead-like 2 (Drosophila),mouse,0,TF
,Grhl3,230824,grainyhead-like 3 (Drosophila),mouse,0,TF
,Gsc,14836,goosecoid homeobox,mouse,2,TF
,Gsc2,195333,goosecoid homebox 2,mouse,0,TF
,Gsx1,14842,GS homeobox 1,mouse,0,TF
,Gsx2,14843,GS homeobox 2,mouse,0,TF
,Gtf2i,14886,general transcription factor II I,mouse,0,TF
,Gtf3a,66596,general transcription factor III A,mouse,0,TF
,Gzf1,74533,GDNF-inducible zinc finger protein 1,mouse,0,TF
,Hand1,15110,heart and neural crest derivatives expressed transcript 1,mouse,1,TF
,Hand2,15111,heart and neural crest derivatives expressed transcript 2,mouse,0,TF
,Hbp1,73389,high mobility group box transcription factor 1,mouse,0,TF
,Hdx,245596,highly divergent homeobox,mouse,0,TF
,Helt,234219,helt bHLH transcription factor,mouse,0,TF
,Hes1,15205,hairy and enhancer of split 1 (Drosophila),mouse,1,TF
,Hes2,15206,hairy and enhancer of split 2 (Drosophila),mouse,0,TF
,Hes3,15207,hairy and enhancer of split 3 (Drosophila),mouse,0,TF
,Hes5,15208,hairy and enhancer of split 5 (Drosophila),mouse,0,TF
,Hes6,55927,hairy and enhancer of split 6,mouse,1,TF
,Hes7,84653,hairy and enhancer of split 7 (Drosophila),mouse,0,TF
,Hesx1,15209,homeobox gene expressed in ES cells,mouse,1,TF
,Hey1,15213,hairy/enhancer-of-split related with YRPW motif 1,mouse,0,TF
,Hey2,15214,hairy/enhancer-of-split related with YRPW motif 2,mouse,0,TF
,Heyl,56198,hairy/enhancer-of-split related with YRPW motif-like,mouse,0,TF
,Hhex,15242,hematopoietically expressed homeobox,mouse,0,TF
,Hic1,15248,hypermethylated in cancer 1,mouse,1,TF
,Hic2,58180,hypermethylated in cancer 2,mouse,0,TF
,Hif1a,15251,"hypoxia inducible factor 1, alpha subunit",mouse,5,TF
,Hif3a,53417,"hypoxia inducible factor 3, alpha subunit",mouse,0,TF
,Hinfp,102423,histone H4 transcription factor,mouse,0,TF
,Hivep1,110521,human immunodeficiency virus type I enhancer binding protein 1,mouse,0,TF
,Hivep2,15273,human immunodeficiency virus type I enhancer binding protein 2,mouse,1,TF
,Hivep3,16656,human immunodeficiency virus type I enhancer binding protein 3,mouse,0,TF
,Hkr1,110189,GLI-Kruppel family member HKR1,mouse,0,TF
,Hlf,217082,hepatic leukemia factor,mouse,0,TF
,Hltf,20585,helicase-like transcription factor,mouse,0,TF
,Hlx,15284,H2.0-like homeobox,mouse,0,TF
,Hmbox1,219150,homeobox containing 1,mouse,0,TF
,Hmg20a,66867,high mobility group 20A,mouse,1,TF
,Hmg20b,15353,high mobility group 20B,mouse,1,TF
,Hmga1,15361,high mobility group AT-hook 1,mouse,4,TF
,Hmga2,15364,high mobility group AT-hook 2,mouse,44,TF
,Hmgxb3,106894,HMG box domain containing 3,mouse,0,TF
,Hmgxb4,70823,HMG box domain containing 4,mouse,0,TF
,Hmx1,15371,H6 homeobox 1,mouse,0,TF
,Hmx2,15372,H6 homeobox 2,mouse,0,TF
,Hmx3,15373,H6 homeobox 3,mouse,0,TF
,Hnf1a,21405,HNF1 homeobox A,mouse,3,TF
,Hnf1b,21410,HNF1 homeobox B,mouse,2,TF
,Hnf4a,15378,"hepatic nuclear factor 4, alpha",mouse,1,TF
,Hnf4g,30942,"hepatocyte nuclear factor 4, gamma",mouse,0,TF
,Hnrnpk,15387,heterogeneous nuclear ribonucleoprotein K,mouse,2,TF
,Homez,239099,homeodomain leucine zipper-encoding gene,mouse,0,TF
,Hopx,74318,HOP homeobox,mouse,0,TF
,Hoxa1,15394,homeobox A1,mouse,0,TF
,Hoxa10,15395,homeobox A10,mouse,2,TF
,Hoxa11,15396,homeobox A11,mouse,1,TF
,Hoxa13,15398,homeobox A13,mouse,0,TF
,Hoxa2,15399,homeobox A2,mouse,2,TF
,Hoxa3,15400,homeobox A3,mouse,0,TF
,Hoxa4,15401,homeobox A4,mouse,0,TF
,Hoxa5,15402,homeobox A5,mouse,0,TF
,Hoxa6,15403,homeobox A6,mouse,0,TF
,Hoxa7,15404,homeobox A7,mouse,1,TF
,Hoxa9,15405,homeobox A9,mouse,1,TF
,Hoxb1,15407,homeobox B1,mouse,1,TF
,Hoxb13,15408,homeobox B13,mouse,0,TF
,Hoxb2,103889,homeobox B2,mouse,0,TF
,Hoxb3,15410,homeobox B3,mouse,0,TF
,Hoxb4,15412,homeobox B4,mouse,0,TF
,Hoxb5,15413,homeobox B5,mouse,0,TF
,Hoxb6,15414,homeobox B6,mouse,0,TF
,Hoxb7,15415,homeobox B7,mouse,1,TF
,Hoxb8,15416,homeobox B8,mouse,1,TF
,Hoxb9,15417,homeobox B9,mouse,0,TF
,Hoxc10,209448,homeobox C10,mouse,0,TF
,Hoxc11,109663,homeobox C11,mouse,0,TF
,Hoxc12,15421,homeobox C12,mouse,1,TF
,Hoxc13,15422,homeobox C13,mouse,0,TF
,Hoxc4,15423,homeobox C4,mouse,0,TF
,Hoxc5,15424,homeobox C5,mouse,0,TF
,Hoxc6,15425,homeobox C6,mouse,0,TF
,Hoxc8,15426,homeobox C8,mouse,1,TF
,Hoxc9,15427,homeobox C9,mouse,1,TF
,Hoxd1,15429,homeobox D1,mouse,0,TF
,Hoxd10,15430,homeobox D10,mouse,1,TF
,Hoxd11,15431,homeobox D11,mouse,0,TF
,Hoxd12,15432,homeobox D12,mouse,2,TF
,Hoxd13,15433,homeobox D13,mouse,0,TF
,Hoxd3,15434,homeobox D3,mouse,0,TF
,Hoxd4,15436,homeobox D4,mouse,0,TF
,Hoxd8,15437,homeobox D8,mouse,0,TF
,Hoxd9,15438,homeobox D9,mouse,0,TF
,Hsf1,15499,heat shock factor 1,mouse,0,TF
,Hsf2,15500,heat shock factor 2,mouse,0,TF
,Hsf3,245525,heat shock transcription factor 3,mouse,0,TF
,Hsf4,26386,heat shock transcription factor 4,mouse,0,TF
,Hsf5,327992,heat shock transcription factor family member 5,mouse,0,TF
,Hsfy2,71066,"heat shock transcription factor, Y-linked 2",mouse,0,TF
,Id1,15901,inhibitor of DNA binding 1,mouse,1,TF
,Id2,15902,inhibitor of DNA binding 2,mouse,1,TF
,Id3,15903,inhibitor of DNA binding 3,mouse,2,TF
,Id4,15904,inhibitor of DNA binding 4,mouse,0,TF
,Ikzf1,22778,IKAROS family zinc finger 1,mouse,3,TF
