Symbol1,GeneID1,Type1,Symbol1,GeneID1,Type1,Species,PMID,Source,Experiment,Interaction_type,DB
Arntl,11865,TF,Hlf,217082,TF,mouse,9704006,EBI-2291801,0915:physical association,0018:two hybrid,intact
Arntl,11865,TF,Kmt2a,214162,TF,mouse,21113167,568390,0915:physical association,0004:affinity chromatography technology,biogrid
Ascl1,17172,TF,Hand1,15110,TF,mouse,8948587,824312,0407:direct interaction,0018:two hybrid,biogrid
Ascl1,17172,TF,Neurog2,11924,TF,mouse,20211142,469363,0407:direct interaction,0018:two hybrid,biogrid
Ascl1,17172,TF,Neurog2,11924,TF,mouse,8948587,824313,0407:direct interaction,0018:two hybrid,biogrid
Ascl1,17172,TF,Neurog2,11924,TF,mouse,8948587,824322,0407:direct interaction,0096:pull down,biogrid
Ascl1,17172,TF,Neurog2,11924,TF,mouse,8948587,824324,0407:direct interaction,0096:pull down,biogrid
Ascl1,17172,TF,Tcf12,21406,TF,mouse,8948587,824311,0407:direct interaction,0018:two hybrid,biogrid
Ascl1,17172,TF,Tcf3,21423,TF,mouse,12200424,818709,0407:direct interaction,0018:two hybrid,biogrid
Ascl1,17172,TF,Tcf3,21423,TF,mouse,12217327,818236,0407:direct interaction,0096:pull down,biogrid
Ascl1,17172,TF,Tcf3,21423,TF,mouse,20211142,469808,0407:direct interaction,0018:two hybrid,biogrid
Ascl1,17172,TF,Tcf3,21423,TF,mouse,8948587,824310,0407:direct interaction,0018:two hybrid,biogrid
Ascl1,17172,TF,Tcf3,21423,TF,mouse,8948587,824321,0407:direct interaction,0096:pull down,biogrid
Ascl1,17172,TF,Tcf3,21423,TF,mouse,8948587,824326,0407:direct interaction,0096:pull down,biogrid
Ascl3,56787,TF,Myod1,17927,TF,mouse,11784080,737471,0407:direct interaction,0096:pull down,biogrid
Ascl3,56787,TF,Tcf12,21406,TF,mouse,11784080,737464,0407:direct interaction,0018:two hybrid,biogrid
Ascl3,56787,TF,Tcf3,21423,TF,mouse,11784080,737462,0407:direct interaction,0018:two hybrid,biogrid
Ascl3,56787,TF,Tcf3,21423,TF,mouse,11784080,737470,0407:direct interaction,0096:pull down,biogrid
Ascl3,56787,TF,Tcf3,21423,TF,mouse,20211142,470058,0407:direct interaction,0018:two hybrid,biogrid
Ascl3,56787,TF,Tcf4,21413,TF,mouse,11784080,737463,0407:direct interaction,0018:two hybrid,biogrid
