"","Gene"
"4925","Fam50a"
"4926","Fam53a"
"4927","Fam53a"
"4941","Fam69a"
"4943","Fam76a"
"4944","Fam76b"
"4951","Fam91a1"
"4953","Fam98a"
"4954","Fam98b"
"4961","Far1"
"4968","Fars2"
"4975","Fastk"
"4978","Fastkd3"
"4984","Fbf1"
"4985","Fbl"
"5001","Fbxl14"
"5004","Fbxl17"
"5006","Fbxl18"
"5010","Fbxl3"
"5011","Fbxl3"
"5022","Fbxl4"
"5025","Fbxl6"
"5028","Fbxo11"
"5034","Fbxo25"
"5035","Fbxo28"
"5036","Fbxo3"
"5044","Fbxo38"
"5046","Fbxo4"
"5048","Fbxo42"
"5050","Fbxo45"
"5051","Fbxo46"
"5056","Fbxo7"
"5070","Fbxw4"
"5071","Fbxw5"
"5073","Fbxw7"
"5075","Fbxw8"
"5076","Fbxw9"
"5078","Fcf1"
"5093","Fdxacb1"
"5095","Fech"
"5096","Fem1b"
"5097","Fem1c"
"5123","Fgfr1op"
"5124","Fgfr1op2"
"5125","Fgfr1op2"
"5126","Fgfr1op2"
"5149","Fibp"
"5150","Ficd"
"5151","Fig4"
"5158","Fip1l1"
"5159","Fip1l1"
"5162","Fis1"
"5164","Fiz1"
"5168","Fkbp15"
"5176","Fkbp2"
"5177","Fkbp2"
"5181","Fkbp4"
"5186","Fkbp8"
"5187","Fkbp8"
"5188","Fkbp8"
"5196","Fkbpl"
"5197","Fkrp"
"5204","Flcn"
"5205","Flcn"
"5211","Flii"
"5220","Flot1"
"5268","Fnip1"
"5275","Fopnl"
"5282","Foxj3"
"5283","Foxj3"
"5286","Foxk1"
"5287","Foxk2"
"5288","Foxn2"
"5293","Foxo3"
"5310","Frg1"
"5325","Frs2"
"5328","Fryl"
"5341","Fto"
"5342","Ftsj1"
"5343","Ftsj1"
"5344","Ftsj3"
"5355","Fubp3"
"5359","Fuca2"
"5360","Fuca2"
"5363","Fundc1"
"5364","Fundc2"
"5370","Fus"
"5371","Fus"
"5372","Fus"
"5373","Fus"
"5388","Fut11"
"5395","Fxr1"
"5398","Fxr2"
"5416","Fyttd1"
"5427","Fzr1"
"5430","G3bp1"
"5431","G3bp2"
"5433","G6pc3"
"5434","G6pc3"
"5446","Gabarapl2"
"5448","Gabpa"
"5457","Gak"
"5480","Ganab"
"5483","Gapvd1"
"5484","Gapvd1"
"5491","Gars"
"5492","Gart"
"5498","Gas8"
"5504","Gatad1"
"5505","Gatad1"
"5508","Gatad2a"
"5510","Gatad2b"
"5511","Gatb"
"5513","Gatc"
"5518","Gbf1"
"5526","Gcc1"
"5529","Gcdh"
"5542","Gdap2"
"5546","Gdi2"
"5550","Gdpgp1"
"5553","Gemin5"
"5558","Get4"
"5566","Gfod2"
"5567","Gfpt1"
"5572","Gga1"
"5573","Gga2"
"5577","Ggcx"
"5578","Ggcx"
"5583","Ggnbp2"
"5584","Ggnbp2"
"5585","Ggnbp2"
"5602","Ghdc"
"5607","Gid4"
"5608","Gid8"
"5624","Gins4"
"5629","Git2"
"5647","Gle1"
"5661","Glrx2"
"5662","Glrx2"
"5663","Glrx2"
"5671","Gls"
"5672","Gls"
"5682","Glt8d1"
"5686","Glud1"
"5688","Glyr1"
"5689","Glyr1"
